"item_lc116","nbs","descricao_nbs"
"03.02","1.1103.33.00","Licenciamento de direitos de autor de obras publicitárias"
"03.02","1.1104.20.00","Licenciamento de direitos sobre marcas"
"03.02","1.1106.33.00","Cessão temporária de direitos de autor de obras publicitárias"
"03.02","1.1107.33.00","Cessão definitiva de direitos de obras publicitárias"
"03.02","1.1108.20.00","Cessão definitiva de direitos sobre marcas"
"03.03","1.1805.31.00","Serviços de reservas para centros de convenções, auditórios e salas de exposições"
"03.03","1.1806.61.00","Serviços de assistência e organização de convenções"
"03.03","1.1806.62.00","Serviços de assistência e organização de feiras de negócios"
"03.03","1.1806.63.00","Serviços de assistência e organização de exposições e outros eventos"
"03.03","1.2508.00.00","Serviços recreativos, culturais e desportivos não classificados em posições anteriores"
"03.04","1.1001.12.10","Serviços de administração e locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza"
"03.05","1.0105.70.00","Serviços de andaimes"
"03.05","1.0105.50.00","Serviços de montagem de estruturas de aço"
"04.01","1.2301.22.00","Serviços médicos especializados"
"04.02","1.2301.93.00","Serviços laboratoriais"
"04.02","1.2301.94.00","Serviços de diagnóstico por imagem"
"04.03","1.2301.11.00","Serviços cirúrgicos"
"04.03","1.2301.12.00","Serviços ginecológicos e obstétricos"
"04.03","1.2301.13.00","Serviços psiquiátricos"
"04.03","1.2301.14.00","Serviços prestados em Unidades de Terapia Intensiva"
"04.03","1.2301.15.00","Serviços de atendimento de urgência"
"04.03","1.2301.19.00","Serviços hospitalares não classificados em subposições anteriores"
"04.03","1.2301.21.00","Serviços de clínica médica"
"04.03","1.2301.93.00","Serviços laboratoriais"
"04.04","1.2301.11.00","Serviços cirúrgicos"
"04.05","1.2301.99.00","Outros serviços de saúde humana não classificados em subposições anteriores"
"04.06","1.2301.91.00","Serviços de enfermagem"
"04.06","1.2301.97.00","Serviços de assistência ao parto e pós-parto"
"04.07","1.2301.99.00","Outros serviços de saúde humana não classificados em subposições anteriores"
"04.08","1.2301.92.00","Serviços de fisioterapia"
"04.08","1.2301.99.00","Outros serviços de saúde humana não classificados em subposições anteriores"
"04.09","1.2301.99.00","Outros serviços de saúde humana não classificados em subposições anteriores"
"04.10","1.2301.99.00","Outros serviços de saúde humana não classificados em subposições anteriores"
"04.11","1.2301.12.00","Serviços ginecológicos e obstétricos"
"04.11","1.2301.97.00","Serviços de assistência ao parto e pós-parto"
"04.12","1.2301.23.00","Serviços odontológicos"
"04.13","1.2301.99.00","Outros serviços de saúde humana não classificados em subposições anteriores"
"04.14","1.2301.99.00","Outros serviços de saúde humana não classificados em subposições anteriores"
"04.15","1.2301.22.00","Serviços médicos especializados"
"04.16","1.2301.98.00","Serviços de psicologia"
"04.17","1.2201.11.00","Serviços de creche ou entidade equivalente"
"04.17","1.2302.10.00","Serviços de cuidado em saúde em unidades de acolhimento"
"04.17","1.2302.21.00","Serviços de assistência a idosos em unidades de acolhimento"
"04.17","1.2302.22.00","Serviços de assistência a crianças e adolescentes com deficiência em unidades de acolhimento"
"04.17","1.2302.23.00","Serviços de assistência a adultos com deficiência em unidades de acolhimento"
"04.17","1.2303.00.00","Serviços de assistência social com acomodação"
"04.18","1.2301.21.00","Serviços de clínica médica"
"04.19","1.2301.95.00","Serviços de bancos de material biológico humano"
"04.20","1.2301.95.00","Serviços de bancos de material biológico humano"
"04.21","1.2301.96.00","Serviços de ambulância"
"04.22","1.0910.10.00","Serviços de planos privados de assistência à saúde"
"04.22","1.0910.90.00","Serviços de planos privados de assistência à saúde e serviços relacionados não classificados em subposições anteriores"
"04.23","1.0910.10.00","Serviços de planos privados de assistência à saúde"
"04.23","1.0910.90.00","Serviços de planos privados de assistência à saúde e serviços relacionados não classificados em subposições anteriores"
"05.01","1.1405.12.00","Serviços de atendimento, assistência ou tratamento para animais domésticos"
"05.01","1.1405.22.00","Serviços de atendimento, assistência ou tratamento para animais de corte"
"05.01","1.1405.90.00","Serviços veterinários não classificados em subposições anteriores"
"05.02","1.1405.11.00","Serviços hospitalares, com ou sem internação, para animais domésticos"
"05.02","1.1405.12.00","Serviços de atendimento, assistência ou tratamento para animais domésticos"
"05.02","1.1405.21.00","Serviços hospitalares, com ou sem internação, para animais de corte"
"05.02","1.1405.22.00","Serviços de atendimento, assistência ou tratamento para animais de corte"
"05.03","1.1405.90.00","Serviços veterinários não classificados em subposições anteriores"
"05.04","1.1405.90.00","Serviços veterinários não classificados em subposições anteriores"
"05.05","1.1405.40.00","Serviços de bancos de órgãos, sangue, sêmen, tecidos, óvulos e outros materiais biológicos"
"05.06","1.1405.40.00","Serviços de bancos de órgãos, sangue, sêmen, tecidos, óvulos e outros materiais biológicos"
"05.07","1.1405.12.00","Serviços de atendimento, assistência ou tratamento para animais domésticos"
"05.07","1.1405.22.00","Serviços de atendimento, assistência ou tratamento para animais de corte"
"05.08","1.1405.60.00","Serviços de guarda, adestramento, embelezamento e alojamento"
"05.09","1.1405.50.00","Planos de atendimento e assistência médico-veterinária"
"06.01","1.2602.10.00","Serviços de cabeleireiros e barbeiros"
"06.01","1.2602.20.00","Serviços de manicure, pedicure e tratamento cosmético"
"06.02","1.2602.20.00","Serviços de manicure, pedicure e tratamento cosmético"
"06.02","1.2602.30.00","Serviços de bem-estar físico"
"06.02","1.2602.90.00","Serviços de tratamento de beleza e bem-estar físico não classificados em subposições anteriores"
"06.03","1.2602.30.00","Serviços de bem-estar físico"
"06.04","1.2205.12.00","Serviços de educação desportiva e recreacional"
"06.04","1.2505.90.00","Serviços desportivos e recreacionais desportivos não classificados em subposições anteriores"
"06.05","1.2602.30.00","Serviços de bem-estar físico"
"06.05","1.2602.90.00","Serviços de tratamento de beleza e bem-estar físico não classificados em subposições anteriores"
"06.06","1.2602.90.00","Serviços de tratamento de beleza e bem-estar físico não classificados em subposições anteriores"
"07.01","1.1402.11.00","Serviços de consultoria em arquitetura"
"07.01","1.1402.12.00","Serviços de arquitetura para projetos de construções residenciais"
"07.01","1.1402.13.00","Serviços de arquitetura para projetos de construções não residenciais"
"07.01","1.1402.14.00","Serviços de arquitetura para restauração de prédios históricos"
"07.01","1.1402.21.00","Serviços de planejamento urbano"
"07.01","1.1402.22.00","Serviços de planejamento de áreas rurais"
"07.01","1.1402.31.00","Serviços de consultoria em paisagismo"
"07.01","1.1402.32.00","Serviços de paisagismo, exceto consultoria"
"07.01","1.1402.90.00","Serviços de arquitetura, de planejamento urbano e de áreas rurais e de paisagismo não classificados em subposições anteriores"
"07.01","1.1403.10.00","Serviços de consultoria em engenharia"
"07.01","1.1403.21.10","Serviços de engenharia para projetos de construção residencial"
"07.01","1.1403.21.20","Serviços de engenharia para projetos de construção não residencial"
"07.01","1.1403.22.11","Serviços de engenharia para projetos de exploração de minerais"
"07.01","1.1403.22.12","Serviços de engenharia para projetos de exploração de petróleo e gás"
"07.01","1.1403.22.13","Serviços de engenharia para projetos de refino de petróleo e petroquímica"
"07.01","1.1403.22.14","Serviços de engenharia para projetos de unidades de produção de biocombustíveis"
