"item_lc116","nbs","descricao_nbs"
"09.01","1.0304.10.00","Serviços de hospedagem em quartos ou unidades de hospedagem para estudantes em residências estudantis"
"09.01","1.0304.20.00","Serviços de hospedagem em quartos ou unidades de hospedagem para trabalhadores em hotéis ou campos"
"09.01","1.0304.90.00","Serviços de hospedagem, exceto para visitantes não classificados em subposições anteriores"
"09.02","1.0401.17.10","Serviços de transporte rodoviário para passeios turísticos (sightseeing)"
"09.02","1.0401.17.20","Serviços de transporte ferroviário para passeios turísticos (sightseeing)"
"09.02","1.0401.17.90","Serviços de transporte terrestre para passeios turísticos (sightseeing) não classificados em itens anteriores"
"09.02","1.0401.23.00","Serviços de transporte aquaviário para passeios turísticos (sightseeing)"
"09.02","1.0401.43.00","Serviços de transporte aéreo para passeios turísticos (sightseeing)"
"09.02","1.0402.13.20","Serviços de fretamento eventual ou turístico, nacional, exceto local"
"09.02","1.1805.40.00","Serviços de operadoras de turismo"
"09.02","1.1805.11.00","Serviços de reservas para transporte aéreo de passageiros"
"09.02","1.1805.12.00","Serviços de reservas para transporte ferroviário de passageiros"
"09.02","1.1805.13.00","Serviços de reservas para transporte rodoviário de passageiros"
"09.02","1.1805.14.00","Serviços de reservas de carros de aluguel"
"09.02","1.1805.19.00","Serviços de reservas para transporte de passageiros não classificados em subposições anteriores"
"09.02","1.1805.21.00","Serviços de reservas de hospedagem, exceto em unidades compartilhadas"
"09.02","1.1805.22.00","Serviços de reservas e intercâmbio de unidades compartilhadas (time-share)"
"09.02","1.1805.23.00","Serviços de reservas em cruzeiros"
"09.02","1.1805.24.00","Serviços de reservas de pacotes turísticos"
"09.02","1.1805.31.00","Serviços de reservas para centros de convenções, auditórios e salas de exposições"
"09.02","1.1805.32.00","Serviços de reservas de ingressos para eventos de entretenimento e recreativos"
"09.02","1.1805.39.00","Serviços de reservas não classificados em subposições anteriores"
"09.02","1.1805.61.00","Serviços de promoção turística"
"09.02","1.1805.62.00","Serviços de informação a visitantes"
"09.03","1.1805.50.00","Serviços de guias turísticos"
"10.01","1.0906.11.00","Serviços de agenciamento e corretagem de seguros, resseguros e previdência complementar, exceto de seguros saúde"
"10.01","1.0906.12.00","Serviços de corretagem de seguros saúde"
"10.01","1.0910.20.00","Serviços de corretagem de planos privados de assistência à saúde"
"10.01","1.0905.90.00","Serviços auxiliares aos serviços financeiros não classificados em subposições anteriores"
"10.02","1.0607.00.00","Serviços de agenciamento de transporte de cargas"
"10.02","1.0905.11.00","Serviços de corretagem de títulos"
"10.02","1.0905.12.00","Serviços de corretagem de derivativos e commodities"
"10.03","1.2501.40.00","Serviços de agenciamento para a comercialização de obras audiovisuais"
"10.03","1.0905.11.00","Serviços de corretagem de títulos"
"10.04","1.0905.90.00","Serviços auxiliares aos serviços financeiros não classificados em subposições anteriores"
"10.05","1.1001.21.00","Serviços de intermediação na compra e venda de imóveis residenciais"
"10.05","1.1001.22.00","Serviços de intermediação na compra e venda de imóveis não residenciais"
"10.05","1.0201.00.00","Serviços de intermediação na distribuição de mercadorias"
"10.05","1.0205.00.00","Serviços de intermediação na comercialização de energia elétrica"
"10.05","1.0905.12.00","Serviços de corretagem de derivativos e commodities"
"10.06","1.0502.29.00","Serviços de transportes aquaviário costeiro de cargas não classificados em subposições anteriores"
"10.06","1.0607.00.00","Serviços de agenciamento de transporte de cargas"
"10.07","1.1704.10.00","Serviços de agências de notícias para jornais e periódicos"
"10.07","1.1704.20.00","Serviços de agências de notícias para mídia audiovisual"
"10.08","1.1406.20.00","Aquisição ou venda de espaço ou tempo para propaganda, sob comissão"
"10.09","1.0201.00.00","Serviços de intermediação na distribuição de mercadorias"
"10.10","1.0201.00.00","Serviços de intermediação na distribuição de mercadorias"
"11.01","1.0604.30.00","Serviços de estacionamento"
"11.01","1.0605.90.00","Serviços de apoio ao transporte aquaviário não classificados em subposições anteriores"
"11.01","1.0606.19.00","Serviços de apoio ao transporte aéreo não classificados em subposições anteriores"
"11.02","1.1802.50.00","Serviços de guarda e escolta armada"
"11.02","1.1802.20.00","Serviços de consultoria em segurança"
"11.02","1.1802.30.00","Serviços de sistemas de segurança"
"11.02","1.1802.90.00","Serviços de segurança não classificados em subposições anteriores"
"11.03","1.1802.50.00","Serviços de guarda e escolta armada"
"11.04","1.0601.10.00","Serviços de manuseio de contêineres"
"11.04","1.0601.90.00","Serviços de manuseio de cargas não classificados em subposições anteriores"
"11.04","1.0602.10.00","Serviços de armazenagem frigorificada"
"11.04","1.0602.21.00","Serviços de armazenagem de petróleo e seus derivados"
"11.04","1.0602.22.00","Serviços de armazenagem de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos"
"11.04","1.0602.23.00","Serviços de armazenagem de produtos químicos perigosos"
"11.04","1.0602.29.00","Serviços de armazenagem de produtos perigosos não classificados em subposições anteriores"
"11.04","1.0602.31.00","Serviços de armazenagem de granéis sólidos"
"11.04","1.0602.32.00","Serviços de armazenagem de granéis líquidos ou liquefeitos"
"11.04","1.0602.33.00","Serviços de armazenagem de granéis gasosos"
"11.04","1.0602.90.00","Serviços de armazenagem não classificados em subposições anteriores"
"11.04","1.0608.20.00","Serviços de unitização ou desunitização de cargas no transporte multimodal"
"11.04","1.0608.30.00","Serviços de movimentação de cargas no transporte multimodal"
"11.05","1.1802.30.00","Serviços de sistemas de segurança"
"12.01","1.2502.20.00","Serviços de produção e apresentação de atuações artísticas ao vivo"
"12.02","1.2501.50.00","Serviços de projeção de filmes"
"12.03","1.2502.20.00","Serviços de produção e apresentação de atuações artísticas ao vivo"
"12.04","1.2502.90.00","Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo não classificados em subposições anteriores"
"12.05","1.2504.21.00","Serviços de jardins botânico e zoológico"
"12.05","1.2504.22.00","Serviços de reserva natural, incluindo preservação de vida selvagem"
"12.05","1.2507.10.00","Serviços de parques temáticos de diversão"
"12.05","1.2507.90.00","Serviços de parques de diversão e atrações similares não classificados em subposições anteriores"
"12.06","1.2508.00.00","Serviços recreativos, culturais e desportivos não classificados em posições anteriores"
"12.07","1.2502.20.00","Serviços de produção e apresentação de atuações artísticas ao vivo"
"12.07","1.2502.90.00","Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo não classificados em subposições anteriores"
"12.08","1.1806.61.00","Serviços de assistência e organização de convenções"
"12.08","1.1806.62.00","Serviços de assistência e organização de feiras de negócios"
"12.08","1.1806.63.00","Serviços de assistência e organização de exposições e outros eventos"
"12.09","1.2505.90.00","Serviços desportivos e recreacionais desportivos não classificados em subposições anteriores"
"12.09","1.2508.00.00","Serviços recreativos, culturais e desportivos não classificados em posições anteriores"
"12.10","1.2508.00.00","Serviços recreativos, culturais e desportivos não classificados em posições anteriores"
"12.10","1.2505.10.00","Serviços de organização e promoção de eventos desportivos e recreacionais desportivos"
"12.11","1.2505.20.00","Serviços de clubes desportivos"
"12.11","1.2505.90.00","Serviços desportivos e recreacionais desportivos não classificados em subposições anteriores"
"12.11","1.2505.10.00","Serviços de organização e promoção de eventos desportivos e recreacionais desportivos"
"12.12","1.2503.10.00","Serviços de atuação artística"
"12.13","1.2501.21.00","Serviços de produção de programas de televisão, videoteipes e filmes"
"12.13","1.2501.22.00","Serviços de produção de programas de rádio"
"12.13","1.2502.10.00","Serviços de organização e promoção de atuações artísticas ao vivo"
"12.13","1.2502.20.00","Serviços de produção e apresentação de atuações artísticas ao vivo"
"12.13","1.2502.30.00","Serviços de apoio para atuações artísticas ao vivo"
"12.13","1.2505.10.00","Serviços de organização e promoção de eventos desportivos e recreacionais desportivos"
"12.14","1.2502.90.00","Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo não classificados em subposições anteriores"
"12.15","1.2502.90.00","Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo não classificados em subposições anteriores"
"12.15","1.2502.20.00","Serviços de produção e apresentação de atuações artísticas ao vivo"
"12.16","1.2501.50.00","Serviços de projeção de filmes"
"12.16","1.2502.90.00","Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo não classificados em subposições anteriores"
"12.16","1.2505.10.00","Serviços de organização e promoção de eventos desportivos e recreacionais desportivos"
"12.17","1.2508.00.00","Serviços recreativos, culturais e desportivos não classificados em posições anteriores"
"13.02","1.2501.11.00","Serviços de gravação de som em estúdio"
"13.02","1.2501.12.00","Serviços de gravação de som ao vivo"
"13.02","1.2501.36.00","Serviços de legendas, títulos e dublagem em obras audiovisuais"
"13.02","1.2501.37.00","Serviços de projeto e edição de som em obras audiovisuais"
"13.02","1.2501.39.00","Serviços de pós-produção de obras audiovisuais não classificados em subposições anteriores"
"13.03","1.1408.11.00","Serviços fotográficos de retratos"
"13.03","1.1408.12.00","Serviços fotográficos e videográficos para propaganda"
"13.03","1.1408.13.00","Serviços fotográficos e videográficos de eventos"
"13.03","1.1408.14.00","Serviços fotográficos especiais"
"13.03","1.1408.15.00","Serviços de restauração e retoque de fotografias"
"13.03","1.1408.19.00","Serviços fotográficos e videográficos não classificados em subposições anteriores"
"13.03","1.1408.20.00","Serviços de processamento de fotografias"
"13.03","1.2101.23.00","Serviços de reprodução de mídia gravada"
"13.03","1.2501.31.00","Serviços de edição de obras audiovisuais"
"13.03","1.2501.32.00","Serviços de duplicação e transferência de obras audiovisuais"
"13.03","1.2501.33.00","Serviços de correção de cor e restauração digital de obras audiovisuais"
"13.03","1.2501.34.00","Serviços de efeitos visuais em obras audiovisuais"
"13.03","1.2501.35.00","Serviços de animação"
"13.03","1.2501.36.00","Serviços de legendas, títulos e dublagem em obras audiovisuais"
"13.03","1.2501.39.00","Serviços de pós-produção de obras audiovisuais não classificados em subposições anteriores"
"13.03","1.2501.90.00","Serviços de produção audiovisual, de apoio e relacionados não classificados em subposições anteriores"
"13.04","1.1806.51.00","Serviços de fotocópias e outros serviços de reprodução de documentos"
"13.05","1.2101.10.00","Serviços de editoração"
"13.05","1.2101.21.00","Serviços de impressão"
"13.05","1.2101.22.00","Serviços relacionados à impressão"
"14.01","1.2001.10.00","Serviços de manutenção e reparação de produtos metálicos, exceto maquinários e equipamentos"
"14.01","1.2001.20.00","Serviços de manutenção e reparação de computadores e seus periféricos e de maquinário para escritório"
"14.01","1.2001.31.10","Serviços de manutenção e reparação de veículos rodoviários motorizados"
"14.01","1.2001.31.20","Serviços de manutenção e reparação de veículos rodoviários não motorizados"
"14.01","1.2001.32.00","Serviços de manutenção e reparação de veículos sobre trilhos"
"14.01","1.2001.33.00","Serviços de manutenção e reparação de veículos aquaviários"
"14.01","1.2001.34.10","Serviços de manutenção e reparação de aeronaves, exceto de motores, turborreatores e turbopropulsores aeronáuticos"
"14.01","1.2001.34.20","Serviços de manutenção e reparação de motores, turborreatores e turbopropulsores aeronáuticos"
"14.01","1.2001.34.30","Serviços de manutenção e reparação de foguetes e equipamentos aeroespaciais"
"14.01","1.2001.35.00","Serviços de manutenção e reparação de veículos militares"
"14.01","1.2001.39.00","Serviços de manutenção e reparação de maquinários e equipamentos de transporte não classificados em subposições anteriores"
"14.01","1.2001.40.00","Serviços de manutenção e reparação de plataformas, inclusive navios-plataforma, para extração de petróleo e gás"
"14.01","1.2001.50.00","Serviços de manutenção e reparação de maquinários e equipamentos de uso industrial"
"14.01","1.2001.60.00","Serviços de manutenção e reparação de maquinários e equipamentos de uso comercial"
"14.01","1.2001.70.00","Serviços de manutenção e reparação de equipamentos e aparelhos de telecomunicações"
"14.01","1.2001.81.00","Serviços de manutenção e reparação de aparelhos eletroeletrônicos domésticos"
"14.01","1.2001.82.00","Serviços de manutenção e reparação de instrumentos e equipamentos médico-hospitalares, odontológicos, óticos e de precisão"
"14.01","1.2001.83.00","Serviços de manutenção e reparação de equipamentos militares"
"14.01","1.2001.89.00","Serviços de manutenção e reparação de outros maquinários e equipamentos não classificados em subposições anteriores"
"14.01","1.2002.10.00","Serviços de manutenção e reparação de produtos de couro, calçados, malas e bolsas"
"14.01","1.2002.20.00","Serviços de manutenção e reparação de relógios e joias"
"14.01","1.2002.30.00","Serviços de manutenção e reparação de móveis"
"14.01","1.2002.40.00","Serviços de manutenção de roupas e outros produtos têxteis"
"14.01","1.2002.90.00","Serviços de manutenção e reparação de outros bens de consumo não classificados em subposições anteriores"
"14.01","1.1803.29.00","Serviços especializados de limpeza não classificados em subposições anteriores"
"14.02","1.2001.10.00","Serviços de manutenção e reparação de produtos metálicos, exceto maquinários e equipamentos"
"14.02","1.2001.20.00","Serviços de manutenção e reparação de computadores e seus periféricos e de maquinário para escritório"
"14.02","1.2001.31.10","Serviços de manutenção e reparação de veículos rodoviários motorizados"
"14.02","1.2001.31.20","Serviços de manutenção e reparação de veículos rodoviários não motorizados"
"14.02","1.2001.32.00","Serviços de manutenção e reparação de veículos sobre trilhos"
"14.02","1.2001.33.00","Serviços de manutenção e reparação de veículos aquaviários"
"14.02","1.2001.34.10","Serviços de manutenção e reparação de aeronaves, exceto de motores, turborreatores e turbopropulsores aeronáuticos"
"14.02","1.2001.34.20","Serviços de manutenção e reparação de motores, turborreatores e turbopropulsores aeronáuticos"
"14.02","1.2001.34.30","Serviços de manutenção e reparação de foguetes e equipamentos aeroespaciais"
"14.02","1.2001.35.00","Serviços de manutenção e reparação de veículos militares"
"14.02","1.2001.39.00","Serviços de manutenção e reparação de maquinários e equipamentos de transporte não classificados em subposições anteriores"
"14.02","1.2001.40.00","Serviços de manutenção e reparação de plataformas, inclusive navios-plataforma, para extração de petróleo e gás"
"14.02","1.2001.50.00","Serviços de manutenção e reparação de maquinários e equipamentos de uso industrial"
"14.02","1.2001.60.00","Serviços de manutenção e reparação de maquinários e equipamentos de uso comercial"
"14.02","1.2001.70.00","Serviços de manutenção e reparação de equipamentos e aparelhos de telecomunicações"
"14.02","1.2001.81.00","Serviços de manutenção e reparação de aparelhos eletroeletrônicos domésticos"
"14.02","1.2001.82.00","Serviços de manutenção e reparação de instrumentos e equipamentos médico-hospitalares, odontológicos, óticos e de precisão"
"14.02","1.2001.83.00","Serviços de manutenção e reparação de equipamentos militares"
"14.02","1.2001.89.00","Serviços de manutenção e reparação de outros maquinários e equipamentos não classificados em subposições anteriores"
"14.02","1.2002.10.00","Serviços de manutenção e reparação de produtos de couro, calçados, malas e bolsas"
"14.02","1.2002.20.00","Serviços de manutenção e reparação de relógios e joias"
"14.02","1.2002.30.00","Serviços de manutenção e reparação de móveis"
"14.02","1.2002.40.00","Serviços de manutenção de roupas e outros produtos têxteis"
"14.02","1.2002.90.00","Serviços de manutenção e reparação de outros bens de consumo não classificados em subposições anteriores"
"14.03","1.2001.31.10","Serviços de manutenção e reparação de veículos rodoviários motorizados"
"14.04","1.2002.90.00","Serviços de manutenção e reparação de outros bens de consumo não classificados em subposições anteriores"
"14.05","1.1804.00.00","Serviços de acondicionamento e empacotamento"
"14.05","1.2002.90.00","Serviços de manutenção e reparação de outros bens de consumo não classificados em subposições anteriores"
"14.06","1.0106.12.00","Serviços de instalação de alarmes contra incêndio"
"14.06","1.0106.13.00","Serviços de instalação de sistemas de alarmes antifurto"
"14.06","1.0106.14.00","Serviços de instalação de antenas residenciais"
"14.06","1.0106.31.00","Serviços de instalação de equipamentos de aquecimento"
"14.06","1.0106.32.00","Serviços de instalação de equipamentos de ventilação e de ar condicionado"
"14.06","1.0106.40.00","Serviços de instalação de gás"
"14.06","1.0106.90.00","Serviços de instalação não classificados em subposições anteriores"
"14.06","1.0107.60.00","Serviços de instalação de cercas e grades"
"14.06","1.2003.10.00","Serviços de instalação de produtos metálicos, exceto maquinário e equipamentos"
"14.06","1.2003.21.10","Serviços de montagem sob encomenda de turbinas industriais"
"14.06","1.2003.21.90","Serviços de instalação de maquinários, aparelhos e equipamentos industriais não classificados em itens anteriores"
"14.06","1.2003.22.00","Serviços de instalação de computadores e seus periféricos e maquinário de escritório"
"14.06","1.2003.23.00","Serviços de instalação de equipamentos e aparelhos de comunicação, incluindo de rádio e de televisão"
"14.06","1.2003.24.00","Serviços de instalação de maquinários, equipamentos, instrumentos e aparelhos médico-hospitalares, óticos e de precisão"
"14.06","1.2003.25.10","Serviços de instalação de sensores e sistemas de armas"
"14.06","1.2003.25.20","Serviços de instalação de maquinários, aparelhos e equipamentos de emprego militar"
"14.06","1.2003.26.10","Serviços de montagem sob encomenda de motores, turborreatores e turbopropulsores aeronáuticos"
"14.06","1.2003.26.90","Serviços de instalação de maquinários e equipamentos de transporte não classificados em itens anteriores"
"14.06","1.2003.29.00","Serviços de instalação de maquinários, aparelhos e equipamentos não classificados em subposições anteriores"
"14.06","1.0106.19.00","Serviços de instalação elétrica não classificados em subposições anteriores"
"14.06","1.0106.60.00","Serviços de instalação de elevadores, esteiras e escadas rolantes"
"14.07","1.2606.00.00","Serviços pessoais não classificados em posições anteriores"
"14.08","1.2101.22.00","Serviços relacionados à impressão"
"14.09","1.2604.00.00","Serviços de confecção de roupas e outros artigos têxteis"
"14.09","1.2002.40.00","Serviços de manutenção de roupas e outros produtos têxteis"
"14.10","1.2601.10.00","Serviços de limpeza de têxteis, exceto quando realizados a seco"
"14.10","1.2601.20.00","Serviços de limpeza a seco"
"14.10","1.2601.30.00","Serviços de tinturaria"
"14.10","1.2601.40.00","Serviços de passadoria de roupas e outros artigos têxteis"
"14.10","1.2601.90.00","Serviços de lavanderia não classificados em subposições anteriores"
"14.11","1.2002.40.00","Serviços de manutenção de roupas e outros produtos têxteis"
"14.12","1.2001.31.10","Serviços de manutenção e reparação de veículos rodoviários motorizados"
"14.13","1.0107.50.00","Serviços de carpintaria e de serralharia"
"14.14","1.0604.40.00","Serviços de reboque para veículos particulares e comerciais"
"14.14","1.0601.90.00","Serviços de manuseio de cargas não classificados em subposições anteriores"
"15.01","1.0901.40.00","Serviços de cartão de crédito"
"15.01","1.0905.21.00","Serviços de gestão e administração de carteiras de ativos, exceto fundos de pensão"
"15.01","1.0905.22.00","Serviços de administração fundos de investimento e fundos de pensão"
"15.01","1.0905.23.00","Serviços de gestão e administração de trust"
"15.01","1.0905.40.00","Serviços relacionados à administração de mercados financeiros"
"15.01","1.0906.40.00","Serviços de gestão de fundos de previdência complementar"
"15.02","1.0901.21.00","Serviços de depósito para pessoas jurídicas"
"15.02","1.0901.22.00","Serviços de depósito para pessoas físicas"
"15.02","1.0901.29.00","Serviços de depósito para outros depositantes"
"15.03","1.1101.90.00","Arrendamento mercantil operacional ou locação de máquinas e equipamentos, sem operador, não classificado em subposições anteriores"
"15.03","1.2001.89.00","Serviços de manutenção e reparação de outros maquinários e equipamentos não classificados em subposições anteriores"
"15.04","1.1301.30.00","Serviços de documentação e certificação, exceto os serviços notariais e de registro"
"15.04","1.1806.10.00","Serviços de informação cadastral e análise de crédito"
"15.05","1.1806.10.00","Serviços de informação cadastral e análise de crédito"
"15.06","1.1301.30.00","Serviços de documentação e certificação, exceto os serviços notariais e de registro"
"15.06","1.0702.00.00","Serviços de coleta, transporte, remessa ou entrega de documentos ou encomendas, exceto remessas expressas"
"15.07","1.0901.90.00","Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar não classificados em subposições anteriores"
"15.07","1.1806.31.00","Serviços de call center"
"15.08","1.0901.33.00","Serviços de empréstimos e financiamentos pessoais"
"15.08","1.0901.34.00","Serviços de empréstimos e financiamentos comerciais"
"15.08","1.0901.35.00","Serviços de empréstimos e financiamentos industriais"
"15.08","1.0901.36.00","Serviços de empréstimos e financiamentos agropecuários"
"15.08","1.0901.39.00","Serviços de concessão de crédito não classificados em subposições anteriores"
"15.08","1.0905.50.00","Serviços de consultoria financeira"
"15.09","1.0901.51.11","Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de passageiros"
"15.09","1.0901.51.12","Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de mercadorias"
"15.09","1.0901.51.13","Arrendamento mercantil financeiro de veículos e equipamentos ferroviários"
"15.09","1.0901.51.14","Arrendamento mercantil financeiro de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto"
"15.09","1.0901.51.15","Arrendamento mercantil financeiro de navios e outras embarcações"
"15.09","1.0901.51.16","Arrendamento mercantil financeiro de aeronaves"
"15.09","1.0901.51.17","Arrendamento mercantil financeiro de contêineres"
"15.09","1.0901.51.21","Arrendamento mercantil financeiro de máquinas e equipamentos agrícolas"
"15.09","1.0901.51.22","Arrendamento mercantil financeiro de máquinas e equipamentos de construção"
"15.09","1.0901.51.23","Arrendamento mercantil financeiro de máquinas e equipamentos para escritórios, exceto computadores"
"15.09","1.0901.51.24","Arrendamento mercantil financeiro de computadores"
"15.09","1.0901.51.25","Arrendamento mercantil financeiro de equipamentos de telecomunicação"
"15.09","1.0901.51.29","Arrendamento mercantil financeiro de outras máquinas e equipamentos não classificado em subposições anteriores"
"15.09","1.0901.52.10","Arrendamento mercantil financeiro de televisões e outros eletroeletrônicos domésticos, bem como seus acessórios"
"15.09","1.0901.52.20","Arrendamento mercantil financeiro de mídias gravadas"
"15.09","1.0901.52.30","Arrendamento mercantil financeiro de móveis e eletrodomésticos"
"15.09","1.0901.52.40","Arrendamento mercantil financeiro de equipamentos para diversão e lazer"
"15.09","1.0901.52.50","Arrendamento mercantil financeiro de artigos de cama, mesa e banho"
"15.09","1.0901.52.90","Arrendamento mercantil financeiro de outras mercadorias não classificado em subposições anteriores"
"15.09","1.1101.11.00","Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de até oito passageiros, sem operador"
"15.09","1.1101.12.00","Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de cargas, sem operador"
"15.09","1.1101.13.00","Arrendamento mercantil operacional ou locação de veículos e equipamentos de transporte ferroviário, sem operador"
"15.09","1.1101.14.00","Arrendamento mercantil operacional ou locação de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto, sem operador"
"15.09","1.1101.15.00","Arrendamento mercantil operacional ou locação de navios e outras embarcações, sem tripulação"
"15.09","1.1101.16.00","Arrendamento mercantil operacional ou locação de aeronaves, sem tripulação"
"15.09","1.1101.17.00","Arrendamento mercantil operacional ou locação de contêineres"
"15.09","1.1101.20.00","Arrendamento mercantil operacional ou locação de máquinas e equipamentos agrícolas, sem operador"
"15.09","1.1101.30.00","Arrendamento mercantil operacional ou locação de máquinas e equipamentos de construção, sem operador"
"15.09","1.1101.40.00","Arrendamento mercantil operacional ou locação de máquinas e equipamentos para escritórios, exceto computadores, sem operador"
"15.09","1.1101.50.00","Arrendamento mercantil operacional ou locação de computadores, sem operador"
"15.09","1.1101.60.00","Arrendamento mercantil operacional ou locação de equipamentos de telecomunicação, sem operador"
"15.09","1.1101.90.00","Arrendamento mercantil operacional ou locação de máquinas e equipamentos, sem operador, não classificado em subposições anteriores"
"15.09","1.1102.10.00","Arrendamento mercantil operacional ou locação de televisão e outros eletroeletrônicos, bem como seus acessórios"
"15.09","1.1102.20.00","Arrendamento mercantil operacional ou locação de mídias gravadas"
"15.09","1.1102.30.00","Arrendamento mercantil operacional ou locação de móveis e eletrodomésticos"
"15.09","1.1102.40.00","Arrendamento mercantil operacional ou locação de equipamentos para diversão e lazer"
"15.09","1.1102.50.00","Arrendamento mercantil operacional ou locação de artigos de cama, mesa e banho"
"15.09","1.1102.60.00","Arrendamento mercantil operacional ou locação de roupas e calçados"
"15.09","1.1102.90.00","Arrendamento mercantil operacional ou locação de outras mercadorias não classificado em subposições anteriores"
"15.10","1.1806.20.00","Serviços de cobrança"
"15.10","1.0901.90.00","Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar não classificados em subposições anteriores"
"15.11","1.0901.90.00","Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar não classificados em subposições anteriores"
"15.12","1.0905.30.00","Serviços de guarda e custódia"
"15.13","1.0905.60.00","Serviços de câmbio"
"15.14","1.0901.40.00","Serviços de cartão de crédito"
"15.14","1.0901.90.00","Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar não classificados em subposições anteriores"
"15.15","1.0901.21.00","Serviços de depósito para pessoas jurídicas"
"15.15","1.0901.22.00","Serviços de depósito para pessoas físicas"
"15.15","1.0901.29.00","Serviços de depósito para outros depositantes"
"15.15","1.0905.13.00","Serviços de compensação de transações financeiras, inclusive com ativos financeiros (clearinghouse)"
"15.16","1.0901.90.00","Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar não classificados em subposições anteriores"
"15.17","1.0901.90.00","Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar não classificados em subposições anteriores"
"15.18","1.0901.31.00","Serviços de financiamentos imobiliários residenciais"
"15.18","1.0901.32.00","Serviços de financiamentos imobiliários não residenciais"
"15.18","1.1001.30.00","Serviços de avaliação de imóveis"
"16.01","1.0401.11.19","Serviços de transporte rodoviário local regular de passageiros, exceto em áreas metropolitanas não classificados em subitens anteriores"
"16.01","1.0401.16.10","Serviços de transporte ferroviário local de passageiros"
"16.01","1.0401.16.20","Serviços de transporte metroviário (metrô) local de passageiros"
"16.01","1.0401.16.90","Serviços de transporte local de passageiros por veículos sobre trilhos não classificados em itens anteriores"
"16.01","1.0401.21.10","Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para travessia"
"16.01","1.0401.21.90","Serviços de transporte aquaviário local de passageiros, por navegação interior não classificados em itens anteriores"
"16.01","1.0401.30.00","Serviços de transporte integrado local de passageiros"
"16.02","1.0401.21.90","Serviços de transporte aquaviário local de passageiros, por navegação interior não classificados em itens anteriores"
"16.02","1.0401.11.11","Serviços de transporte rodoviário local prestados exclusivamente por meio de ônibus"
"16.02","1.0401.12.10","Serviços de transporte escolar"
"16.02","1.0401.12.20","Serviços de transporte para aeroportos (shuttle)"
"16.02","1.0401.12.90","Serviços especiais de transporte rodoviário local regular de passageiros não classificados em itens anteriores"
"16.02","1.0401.13.00","Serviços de táxi"
"16.02","1.0401.14.00","Serviços de carro com motorista, exceto táxi"
"16.02","1.0401.15.10","Serviços de fretamento contínuo, local"
"16.02","1.0401.15.20","Serviços de fretamento eventual ou turístico, local"
"16.02","1.0401.19.00","Serviços de transporte terrestre local de passageiros não classificados em subposições anteriores"
"16.02","1.0401.21.20","Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para cruzeiros"
"16.02","1.0401.22.00","Serviços de transporte aquaviário local de passageiros por fretamento"
"16.02","1.0401.29.00","Serviços de transporte aquaviário local de passageiros não classificados em subposições anteriores"
"16.02","1.0401.41.00","Serviços de táxi aéreo local"
"16.02","1.0401.42.00","Serviços de transporte aéreo local de passageiros por fretamento"
"16.02","1.0401.49.00","Serviços de transporte aéreo local de passageiros não classificados em subposições anteriores"
"16.02","1.0401.90.00","Serviços de transporte local de passageiros não classificados não classificados em subposições anteriores"
"16.02","1.0404.10.00","Locação de veículos rodoviários de passageiros com motorista"
"16.02","1.0404.20.00","Locação de embarcações de passageiros com tripulação"
"16.02","1.0404.30.00","Locação de aeronaves de passageiros com tripulação"
"16.02","1.0405.00.00","Afretamento de embarcações de passageiros por tempo"
"16.02","1.0501.11.10","Serviços de transporte rodoviário de cargas sólidas a granel"
"16.02","1.0501.11.20","Serviços de transporte rodoviário de cargas líquidas, ou liquefeitas, a granel"
"16.02","1.0501.11.30","Serviços de transporte rodoviário de cargas gasosas a granel"
"16.02","1.0501.12.10","Serviços de transporte rodoviário de carga solta, não unitizada"
"16.02","1.0501.12.20","Serviços de transporte rodoviário de carga unitizada"
"16.02","1.0501.12.30","Serviços de transporte rodoviário de carga frigorificada ou climatizada"
"16.02","1.0501.13.10","Serviços de transporte rodoviário de cargas em contêineres frigorificados ou climatizados"
"16.02","1.0501.13.20","Serviços de transporte rodoviário de cargas em contêineres não frigorificados ou climatizados"
"16.02","1.0501.14.10","Serviços de transporte rodoviário de cargas vivas"
