codigo,descricao,tipo_operacao,gera_credito_ibs,gera_credito_cbs,primeira_etapa_cadeia
1408,"Transferência para industrialização ou produção rural em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
1409,"Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
1410,"Devolução de venda de produção do estabelecimento em operação com produto sujeito ao regime de substituição tributária",ENTRADA,true,true,false
1411,"Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,true,true,false
1414,"Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento em operação com produto sujeito ao regime de substituição tributária",ENTRADA,false,false,false
1415,"Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária",ENTRADA,false,false,false
1452,"Entrada de insumo - Sistema de Integração e Parceria Rural",ENTRADA,true,true,false
1453,"Retorno do animal ou da produção - Sistema de Integração e Parceria Rural",ENTRADA,false,false,false
1454,"Retorno simbólico do animal ou da produção - Sistema de Integração e Parceria Rural",ENTRADA,false,false,false
1455,"Retorno de insumo não utilizado na produção - Sistema de Integração e Parceria Rural",ENTRADA,false,false,false
1456,"Entrada referente a remuneração do produtor no Sistema de Integração e Parceria Rural",ENTRADA,true,true,false
1501,"Entrada de mercadoria recebida com fim específico de exportação",ENTRADA,true,true,false
1503,"Entrada decorrente de devolução de produto remetido com fim específico de exportação, de produção do estabelecimento",ENTRADA,true,true,false
1504,"Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros",ENTRADA,true,true,false
1505,"Entrada decorrente de devolução de mercadorias remetidas para formação de lote de exportação, de produtos industrializados ou produzidos pelo próprio estabelecimento",ENTRADA,true,true,false
1506,"Entrada decorrente de devolução de mercadorias, adquiridas ou recebidas de terceiros, remetidas para formação de lote de exportação",ENTRADA,true,true,false
1550,"OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO",ENTRADA,true,true,false
1551,"Compra de bem para o ativo imobilizado",ENTRADA,true,true,false
1552,"Transferência de bem do ativo imobilizado",ENTRADA,true,true,false
1553,"Devolução de venda de bem do ativo imobilizado",ENTRADA,true,true,false
1554,"Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento",ENTRADA,false,false,false
1555,"Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento",ENTRADA,true,true,false
1556,"Compra de material para uso ou consumo",ENTRADA,true,true,false
1557,"Transferência de material para uso ou consumo",ENTRADA,true,true,false
1601,"Recebimento, por transferência, de crédito de ICMS",ENTRADA,true,true,false
1602,"Recebimento, por transferência, de saldo credor de ICMS de outro estabelecimento da mesma empresa, para compensação de saldo devedor de ICMS",ENTRADA,true,true,false
1603,"Ressarcimento de ICMS retido por substituição tributária",ENTRADA,true,true,false
1604,"Lançamento do crédito relativo à compra de bem para o ativo imobilizado",ENTRADA,true,true,false
1605,"Recebimento, por transferência, de saldo devedor de ICMS de outro estabelecimento da mesma empresa.",ENTRADA,true,true,false
1650,"ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO E LUBRIFICANTES",ENTRADA,true,true,false
1651,"Compra de combustível ou lubrificante para industrialização subseqüente",ENTRADA,true,true,false
1652,"Compra de combustível ou lubrificante para comercialização",ENTRADA,true,true,false
1653,"Compra de combustível ou lubrificante por consumidor ou usuário final",ENTRADA,true,true,false
1657,"Retorno de remessa de combustível ou lubrificante para venda fora do estabelecimento.",ENTRADA,false,false,false
1658,"Transferência de combustível e lubrificante para industrialização",ENTRADA,true,true,false
1659,"Transferência de combustível e lubrificante para comercialização",ENTRADA,true,true,false
1660,"Devolução de venda de combustível ou lubrificante destinado à industrialização subseqüente",ENTRADA,true,true,false
1661,"Devolução de venda de combustível ou lubrificante destinado à comercialização",ENTRADA,true,true,false
1662,"Devolução de venda de combustível ou lubrificante destinado a consumidor ou usuário final",ENTRADA,true,true,false
1663,"Entrada de combustível ou lubrificante para armazenagem",ENTRADA,true,true,false
1664,"Retorno de combustível ou lubrificante remetido para armazenagem",ENTRADA,false,false,false
1901,"Entrada para industrialização por encomenda",ENTRADA,true,true,false
1902,"Retorno de mercadoria remetida para industrialização por encomenda",ENTRADA,false,false,false
1903,"Entrada de mercadoria remetida para industrialização e não aplicada no referido processo",ENTRADA,true,true,false
1904,"Retorno de remessa para venda fora do estabelecimento",ENTRADA,false,false,false
1905,"Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral",ENTRADA,true,true,false
1906,"Retorno de mercadoria remetida para depósito fechado ou armazém geral",ENTRADA,false,false,false
1907,"Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral",ENTRADA,false,false,false
1908,"Entrada de bem por conta de contrato de comodato ou locação",ENTRADA,false,false,false
1909,"Retorno de bem remetido por conta de contrato de comodato ou locação",ENTRADA,false,false,false
1910,"Entrada de bonificação, doação ou brinde",ENTRADA,false,false,false
1911,"Entrada de amostra grátis",ENTRADA,false,false,false
